date,open,high,low,close,volume,adjusted
1993-01-04,360.18,360.41,355.81,356.37,18077813.0968387,356.37
1993-01-05,356.37,360.26,355.36,360.23,23465699.095276,360.23
1993-01-06,360.23,367.25,360.23,366.23,30535771.4637613,366.23
1993-01-07,366.97,370.57,363.61,364.01,30645822.0645504,364.01
1993-01-08,364.01,365.58,361.45,365.54,23971525.9907543,365.54
1993-01-11,365.54,371.15,364.53,370.8,19624109.0508488,370.8
1993-01-12,370.8,371.6,365.14,367.9,25564880.711511,367.9
1993-01-13,367.9,376.44,365.69,375.85,30191743.3583791,375.85
1993-01-14,375.85,382.45,375.85,381.34,32632347.8452405,381.34
1993-01-15,381.34,382.78,375.62,379.23,32811498.8699863,379.23
1993-01-18,379.23,379.24,375.33,378.75,27438688.9537279,378.75
1993-01-19,378.75,380.09,375.65,376.02,26319089.3174296,376.02
1993-01-20,376.02,377.91,374.56,375.73,24435813.1036398,375.73
1993-01-21,375.73,380.01,373.93,379.34,23831474.0549881,379.34
1993-01-22,379.34,381.7,377.39,377.82,23170142.0681132,377.82
1993-01-25,379.34,381.7,377.39,377.82,23170142.0681132,377.82
1993-01-26,379.34,381.7,377.39,377.82,23170142.0681132,377.82
1993-01-27,379.38,379.38,369.84,372.61,29786348.2627362,372.61
1993-01-28,372.61,372.61,368.08,370.66,31557359.4261946,370.66
1993-01-29,370.66,372.72,368.95,370.56,25831382.5152659,370.56
1993-02-01,370.56,376.06,370.36,375.47,21823893.8639427,375.47
1993-02-02,375.47,377.59,374.25,377.44,25715600.3980141,377.44
1993-02-03,377.44,379.26,375.71,376.53,29044082.6014086,376.53
1993-02-04,376.53,378.43,371.98,374.24,28272535.4726022,374.24
1993-02-05,374.24,374.24,363.98,369.0,34133065.9027862,369.0
1993-02-08,369.0,370.37,364.6,365.72,25236662.2675678,365.72
1993-02-09,365.72,368.93,362.42,362.95,30279567.1931727,362.95
1993-02-10,362.95,368.65,362.95,367.3,28804298.1656624,367.3
1993-02-11,367.3,369.74,365.76,366.32,22561051.8939728,366.32
1993-02-12,366.32,366.6,361.02,361.19,18740427.1334487,361.19
1993-02-16,361.19,361.19,343.9,346.89,35576256.2633957,346.89
1993-02-17,346.89,348.45,341.49,345.91,33710106.0401847,345.91
1993-02-18,345.91,353.41,342.81,348.28,33505581.4000937,348.28
1993-02-19,348.28,351.17,345.5,347.91,29195871.8053377,347.91
1993-02-22,347.91,348.26,340.08,340.35,41091401.1237721,340.35
1993-02-23,340.35,342.68,337.14,341.24,31799920.49372,341.24
1993-02-24,341.24,350.75,338.64,350.13,34881392.1628615,350.13
1993-02-25,350.13,351.88,345.69,351.66,35377326.0221488,351.66
