date,open,high,low,close,volume,adjusted,oi
2004-06-01,1000.0,1000.0,1000.0,1000.0,19967256.1459062,1000.0,1067728.0
2004-06-02,1007.872,1017.7463,993.9223,1010.5673,23514210.8571856,1010.5673,1126220.0
2004-06-03,986.4464,999.8273,982.1043,992.7846,17870399.5313904,992.7846,1161564.0
2004-06-04,985.6525,996.8495,979.3336,990.274,19286215.8422903,990.274,1177922.0
2004-06-07,989.8826,1002.3746,987.0042,996.3067,18017851.0375219,996.3067,1236584.0
2004-06-08,1002.0185,1004.8123,989.1436,992.6668,16875155.478162,992.6668,1239662.0
2004-06-09,989.9916,992.1114,975.1926,984.8222,15362038.942148,984.8222,1239082.0
2004-06-10,970.6141,984.6836,966.2503,981.0526,17943864.8776823,981.0526,1224980.0
2004-06-11,978.7357,987.1338,966.1113,971.2214,21454669.0015453,971.2214,1199132.0
2004-06-14,970.51,975.003,964.2277,971.2139,14911014.4099918,971.2139,1199734.0
2004-06-15,973.8788,982.316,971.276,977.6644,12669708.6262654,977.6644,1221688.0
2004-06-16,984.8364,994.9134,979.223,990.6258,13813690.9014486,990.6258,1211830.0
2004-06-17,989.5507,1003.8001,987.7403,998.814,18889631.6438959,998.814,1260112.0
2004-06-18,1000.3784,1003.7466,987.6172,992.8425,18278564.1721944,992.8425,1288072.0
2004-06-21,992.7388,1002.7161,986.7527,990.3149,11682215.5040679,990.3149,1292978.0
2004-06-22,991.668,1001.7767,983.5942,997.8674,13994811.471623,997.8674,1265848.0
2004-06-23,989.005,999.8306,986.5904,994.6558,13904772.0000833,994.6558,1270146.0
2004-06-24,1006.7225,1011.5283,1000.1257,1007.2209,12287707.2072017,1007.2209,1295844.0
2004-06-25,1010.6693,1013.8329,1003.5408,1007.0781,10124829.8165143,1007.0781,1304576.0
2004-06-28,1006.3062,1014.1024,1002.9551,1010.502,9312513.8628312,1010.502,1297116.0
2004-06-29,1005.4717,1015.0771,1002.4136,1012.3724,9551475.3728719,1012.3724,1278372.0
2004-06-30,1008.2182,1012.9963,1001.257,1007.1169,10644295.3760335,1007.1169,1269800.0
2004-07-01,1008.4742,1019.9319,1005.737,1018.0547,11578236.6111091,1018.0547,1279674.0
2004-07-02,1019.6223,1020.0465,1006.598,1009.7499,8672342.1046504,1009.7499,1259882.0
2004-07-05,1010.7488,1016.782,1005.5834,1009.1736,9235831.726981,1009.1736,1292478.0
2004-07-06,1009.4082,1014.073,1003.8832,1009.9285,12778068.4802416,1009.9285,1339174.0
2004-07-07,1008.7758,1012.5178,988.4232,990.6887,22668164.5672775,990.6887,1303306.0
2004-07-08,990.6996,994.2163,979.4942,988.396,20566344.9060146,988.396,1348082.0
2004-07-09,982.9235,990.5492,978.0845,983.1494,20737508.746604,983.1494,1233154.0
2004-07-12,984.3316,989.3232,975.6823,981.6268,11942070.8281916,981.6268,1230758.0
2004-07-13,978.1718,983.5533,973.6663,978.6412,14148328.9237786,978.6412,1227346.0
2004-07-14,978.2764,983.7378,969.7909,974.6687,11685983.7432647,974.6687,1227108.0
2004-07-15,979.8152,983.5837,974.6836,980.7848,9200201.9531121,980.7848,1219310.0
2004-07-16,976.6592,980.4386,970.0172,976.6077,9460363.6381461,976.6077,1161830.0
2004-07-19,977.2509,980.3707,970.7362,974.5778,11963393.5475491,974.5778,1195548.0
2004-07-20,974.7127,981.9312,971.2909,979.2012,12487822.1538152,979.2012,1214868.0
2004-07-21,974.5337,977.7456,967.167,972.7811,9135835.5258562,972.7811,1194812.0
2004-07-22,964.052,972.0289,961.3758,967.5474,11686780.2816315,967.5474,1207978.0
2004-07-23,962.0845,969.0235,954.9895,962.8449,12397108.6882729,962.8449,1256854.0
2004-07-26,957.0527,964.2013,951.2695,956.3014,11779485.0930908,956.3014,1264452.0
2004-07-27,957.1163,964.6943,947.6851,955.0839,15195225.426485,955.0839,1278504.0
2004-07-28,954.0189,959.4418,950.2,955.1457,12149507.8005615,955.1457,1263342.0
2004-07-29,956.4978,966.6296,953.9493,965.7928,9798861.807946,965.7928,1291690.0
2004-07-30,966.1057,973.3885,961.0184,965.7056,12735790.674619,965.7056,1207754.0
2004-08-02,966.4981,969.5484,959.4806,963.6549,9598287.319967,963.6549,1213296.0
2004-08-03,963.0133,967.7951,952.7746,960.5223,17005052.5041328,960.5223,1243464.0
2004-08-04,961.5891,964.8053,956.7144,961.9228,9899532.0030734,961.9228,1259818.0
2004-08-05,960.7589,976.1849,955.555,972.469,15981133.0696996,972.469,1283066.0
2004-08-06,966.3026,970.5539,959.2789,963.5863,16034899.4094587,963.5863,1257214.0
2004-08-09,963.8457,969.7869,956.2567,961.4151,14385544.1766305,961.4151,1277948.0
2004-08-10,952.5102,957.1279,941.4558,952.1067,19518468.0483952,952.1067,1268516.0
2004-08-11,949.5917,959.0732,945.7571,953.0565,13671202.4420641,953.0565,1300810.0
2004-08-12,954.7134,956.9011,943.3446,945.5883,19164805.013535,945.5883,1257532.0
2004-08-13,955.174,963.7836,951.4455,955.1455,19010123.3899202,955.1455,1278192.0
2004-08-16,960.7878,963.1334,954.541,958.3712,10714360.1162211,958.3712,1268066.0
2004-08-17,958.7417,966.9913,955.6084,966.2014,11777524.3832649,966.2014,1284600.0
2004-08-18,965.7387,969.6573,961.6997,966.5961,9903392.1505433,966.5961,1302392.0
2004-08-19,965.2961,968.4316,960.4717,963.2895,10773457.1358196,963.2895,1286090.0
2004-08-20,965.8409,971.7527,961.1666,968.53,10423317.2514279,968.53,1298748.0
2004-08-23,966.2777,974.1942,964.082,970.9765,10470833.8286168,970.9765,1299068.0
2004-08-24,972.8569,979.9482,969.9096,976.0212,12644127.4902547,976.0212,1289718.0
2004-08-25,974.9197,977.9033,969.3668,972.3993,8591707.9130572,972.3993,1291916.0
2004-08-26,971.9521,980.0369,970.0429,976.3795,13104036.4888099,976.3795,1267332.0
2004-08-27,974.8326,976.1712,969.6081,971.7051,8362733.7686926,971.7051,1226152.0
2004-08-30,971.9167,975.1182,967.7817,970.7391,7734724.5386511,970.7391,1232268.0
2004-08-31,975.613,983.8196,973.4299,979.0981,12641523.422517,979.0981,1234584.0
2004-09-01,979.5139,983.8665,974.0075,978.5973,8734380.1889879,978.5973,1246064.0
2004-09-02,983.485,989.0469,981.4273,987.0301,10374054.4170503,987.0301,1264952.0
2004-09-03,981.3943,986.8368,975.9969,984.1557,12965438.8129863,984.1557,1279744.0
2004-09-06,980.75,985.5133,976.2599,979.4426,15120595.9087339,979.4426,1288680.0
2004-09-07,975.2673,979.9322,969.2521,976.8662,11114498.1011751,976.8662,1319212.0
2004-09-08,977.9596,986.9964,975.871,983.9442,14862609.386163,983.9442,1356092.0
2004-09-09,981.8944,986.3782,974.6668,977.6453,16219236.7691914,977.6453,1306204.0
2004-09-10,978.0416,981.4225,974.0099,977.2785,12847091.5933341,977.2785,1297446.0
2004-09-13,978.3397,985.7816,975.7147,982.4166,11415436.4233712,982.4166,1346598.0
2004-09-14,983.227,985.5094,977.8624,980.5791,12296928.670602,980.5791,1364562.0
2004-09-15,978.4334,983.8757,974.7747,982.0515,12561563.2249265,982.0515,1363234.0
2004-09-16,982.3343,994.4548,980.0295,990.2103,17538733.2098903,990.2103,1383594.0
2004-09-17,990.5231,995.8631,984.3563,991.0201,17008728.8350565,991.0201,1394084.0
2004-09-20,989.1368,997.088,985.4741,990.6422,13444250.2797075,990.6422,1364536.0
2004-09-21,991.0944,996.1798,984.9509,990.0325,16122089.7245325,990.0325,1345818.0
2004-09-22,997.4031,1008.2066,993.7187,1004.6961,15314920.6341426,1004.6961,1331672.0
