date,open,high,low,close,volume,adjusted
2000-01-04,2740.74,2740.74,2740.74,2740.74,1000000000.0,2740.74
2000-01-05,2714.81,2714.81,2714.81,2714.81,1000000000.0,2714.81
2000-01-06,2713.84,2713.84,2713.84,2713.84,1000000000.0,2713.84
2000-01-07,2689.98,2689.98,2689.98,2689.98,1000000000.0,2689.98
2000-01-10,2712.12,2712.12,2712.12,2712.12,1000000000.0,2712.12
2000-01-11,2768.24,2768.24,2768.24,2768.24,1000000000.0,2768.24
2000-01-12,2805.06,2805.06,2805.06,2805.06,1000000000.0,2805.06
2000-01-13,2830.12,2830.12,2830.12,2830.12,1000000000.0,2830.12
2000-01-14,2901.24,2901.24,2901.24,2901.24,1000000000.0,2901.24
2000-01-18,2957.26,2957.26,2957.26,2957.26,1000000000.0,2957.26
2000-01-19,2972.47,2972.47,2972.47,2972.47,1000000000.0,2972.47
2000-01-20,2993.34,2993.34,2993.34,2993.34,1000000000.0,2993.34
2000-01-21,2995.99,2995.99,2995.99,2995.99,1000000000.0,2995.99
2000-01-24,2972.64,2972.64,2972.64,2972.64,1000000000.0,2972.64
2000-01-25,3005.56,3005.56,3005.56,3005.56,1000000000.0,3005.56
2000-01-26,2971.36,2971.36,2971.36,2971.36,1000000000.0,2971.36
2000-01-27,2948.93,2948.93,2948.93,2948.93,1000000000.0,2948.93
2000-01-28,2941.2,2941.2,2941.2,2941.2,1000000000.0,2941.2
2000-01-31,2941.2,2941.2,2941.2,2941.2,1000000000.0,2941.2
2000-02-01,2941.2,2941.2,2941.2,2941.2,1000000000.0,2941.2
2000-02-02,2941.2,2941.2,2941.2,2941.2,1000000000.0,2941.2
2000-02-03,2941.2,2941.2,2941.2,2941.2,1000000000.0,2941.2
2000-02-04,2941.2,2941.2,2941.2,2941.2,1000000000.0,2941.2
2000-02-07,2941.2,2941.2,2941.2,2941.2,1000000000.0,2941.2
2000-02-08,2941.2,2941.2,2941.2,2941.2,1000000000.0,2941.2
2000-02-09,2941.2,2941.2,2941.2,2941.2,1000000000.0,2941.2
2000-02-10,2941.2,2941.2,2941.2,2941.2,1000000000.0,2941.2
2000-02-11,2941.2,2941.2,2941.2,2941.2,1000000000.0,2941.2
